nama_kabupaten_kota;jenis_kelamin;jumlah_bayi;satuan;tahun
KOTA CIREBON;PEREMPUAN;2320;ORANG;2019
KOTA BEKASI;LAKI-LAKI;25234;ORANG;2019
KOTA BEKASI;PEREMPUAN;24531;ORANG;2019
KOTA DEPOK;LAKI-LAKI;21823;ORANG;2019
KOTA DEPOK;PEREMPUAN;20979;ORANG;2019
KOTA CIMAHI;LAKI-LAKI;5112;ORANG;2019
KOTA CIMAHI;PEREMPUAN;4976;ORANG;2019
KOTA TASIKMALAYA;LAKI-LAKI;5474;ORANG;2019
KOTA TASIKMALAYA;PEREMPUAN;5300;ORANG;2019
KOTA BANJAR;LAKI-LAKI;1654;ORANG;2019
KOTA BANJAR;PEREMPUAN;3137;ORANG;2019
KABUPATEN BOGOR;LAKI-LAKI;46062;ORANG;2020
KABUPATEN BOGOR;PEREMPUAN;45142;ORANG;2020
KABUPATEN SUKABUMI;LAKI-LAKI;19636;ORANG;2020
KABUPATEN SUKABUMI;PEREMPUAN;18905;ORANG;2020
KABUPATEN CIANJUR;LAKI-LAKI;14298;ORANG;2020
KABUPATEN CIANJUR;PEREMPUAN;13729;ORANG;2020
KABUPATEN BANDUNG;LAKI-LAKI;29148;ORANG;2020
KABUPATEN BANDUNG;PEREMPUAN;28005;ORANG;2020
KABUPATEN GARUT;LAKI-LAKI;20847;ORANG;2020
KABUPATEN GARUT;PEREMPUAN;19616;ORANG;2020
KABUPATEN TASIKMALAYA;LAKI-LAKI;14068;ORANG;2020
KABUPATEN TASIKMALAYA;PEREMPUAN;13188;ORANG;2020
KABUPATEN CIAMIS;LAKI-LAKI;9053;ORANG;2020
KABUPATEN CIAMIS;PEREMPUAN;8513;ORANG;2020
KABUPATEN KUNINGAN;LAKI-LAKI;9437;ORANG;2020
KABUPATEN KUNINGAN;PEREMPUAN;8704;ORANG;2020
KABUPATEN CIREBON;LAKI-LAKI;21124;ORANG;2020
KABUPATEN CIREBON;PEREMPUAN;20372;ORANG;2020
KABUPATEN MAJALENGKA;LAKI-LAKI;9742;ORANG;2020
KABUPATEN MAJALENGKA;PEREMPUAN;9484;ORANG;2020
KABUPATEN SUMEDANG;LAKI-LAKI;9255;ORANG;2020
KABUPATEN SUMEDANG;PEREMPUAN;8615;ORANG;2020
KABUPATEN INDRAMAYU;LAKI-LAKI;9562;ORANG;2020
KABUPATEN INDRAMAYU;PEREMPUAN;9418;ORANG;2020
KABUPATEN SUBANG;LAKI-LAKI;13443;ORANG;2020
KABUPATEN SUBANG;PEREMPUAN;13319;ORANG;2020
KABUPATEN PURWAKARTA;LAKI-LAKI;7888;ORANG;2020
KABUPATEN PURWAKARTA;PEREMPUAN;7774;ORANG;2020
KABUPATEN KARAWANG;LAKI-LAKI;19897;ORANG;2020
KABUPATEN KARAWANG;PEREMPUAN;19556;ORANG;2020
KABUPATEN BEKASI;LAKI-LAKI;34644;ORANG;2020
KABUPATEN BEKASI;PEREMPUAN;33990;ORANG;2020
KABUPATEN BANDUNG BARAT;LAKI-LAKI;13317;ORANG;2020
KABUPATEN BANDUNG BARAT;PEREMPUAN;12888;ORANG;2020
KABUPATEN PANGANDARAN;LAKI-LAKI;2712;ORANG;2020
KABUPATEN PANGANDARAN;PEREMPUAN;2600;ORANG;2020
KOTA BOGOR;LAKI-LAKI;7991;ORANG;2020
KOTA BOGOR;PEREMPUAN;7929;ORANG;2020
KOTA SUKABUMI;LAKI-LAKI;2455;ORANG;2020
KOTA SUKABUMI;PEREMPUAN;2336;ORANG;2020
KOTA BANDUNG;LAKI-LAKI;18302;ORANG;2020
KOTA BANDUNG;PEREMPUAN;19388;ORANG;2020
KOTA CIREBON;LAKI-LAKI;2410;ORANG;2020
KOTA CIREBON;PEREMPUAN;2320;ORANG;2020
KOTA BEKASI;LAKI-LAKI;22178;ORANG;2020
KOTA BEKASI;PEREMPUAN;21972;ORANG;2020
KOTA DEPOK;LAKI-LAKI;20023;ORANG;2020
KOTA DEPOK;PEREMPUAN;19122;ORANG;2020
KOTA CIMAHI;LAKI-LAKI;4700;ORANG;2020
KOTA CIMAHI;PEREMPUAN;4489;ORANG;2020
KOTA TASIKMALAYA;LAKI-LAKI;5176;ORANG;2020
KOTA TASIKMALAYA;PEREMPUAN;5113;ORANG;2020
KOTA BANJAR;LAKI-LAKI;1232;ORANG;2020
KOTA BANJAR;PEREMPUAN;1180;ORANG;2020
KABUPATEN BOGOR;LAKI-LAKI;52231;ORANG;2021
KABUPATEN BOGOR;PEREMPUAN;52015;ORANG;2021
KABUPATEN SUKABUMI;LAKI-LAKI;12957;ORANG;2021
KABUPATEN SUKABUMI;PEREMPUAN;11849;ORANG;2021
KABUPATEN CIANJUR;LAKI-LAKI;1529;ORANG;2021
KABUPATEN CIANJUR;PEREMPUAN;1504;ORANG;2021
KABUPATEN BANDUNG;LAKI-LAKI;29314;ORANG;2021
KABUPATEN BANDUNG;PEREMPUAN;28848;ORANG;2021
KABUPATEN GARUT;LAKI-LAKI;16964;ORANG;2021
KABUPATEN GARUT;PEREMPUAN;15996;ORANG;2021
KABUPATEN TASIKMALAYA;LAKI-LAKI;14103;ORANG;2021
KABUPATEN TASIKMALAYA;PEREMPUAN;13537;ORANG;2021
KABUPATEN CIAMIS;LAKI-LAKI;8316;ORANG;2021
KABUPATEN CIAMIS;PEREMPUAN;7818;ORANG;2021
KABUPATEN KUNINGAN;LAKI-LAKI;8847;ORANG;2021
