nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
KABUPATEN GARUT,1096134,ORANG,2021
KABUPATEN TASIKMALAYA,878438,ORANG,2021
KABUPATEN CIAMIS,637102,ORANG,2021
KABUPATEN KUNINGAN,479405,ORANG,2021
KABUPATEN CIREBON,970262,ORANG,2021
KABUPATEN MAJALENGKA,614417,ORANG,2021
KABUPATEN SUMEDANG,581097,ORANG,2021
KABUPATEN INDRAMAYU,875280,ORANG,2021
KABUPATEN SUBANG,763589,ORANG,2021
KABUPATEN PURWAKARTA,391444,ORANG,2021
KABUPATEN KARAWANG,1023790,ORANG,2021
KABUPATEN BEKASI,1756261,ORANG,2021
KABUPATEN BANDUNG BARAT,676733,ORANG,2021
KABUPATEN PANGANDARAN,233703,ORANG,2021
KOTA BOGOR,466645,ORANG,2021
KOTA SUKABUMI,128395,ORANG,2021
KOTA BANDUNG,1185623,ORANG,2021
KOTA CIREBON,139397,ORANG,2021
KOTA BEKASI,1376447,ORANG,2021
KOTA DEPOK,1089295,ORANG,2021
KOTA CIMAHI,254059,ORANG,2021
KOTA TASIKMALAYA,316349,ORANG,2021
KOTA BANJAR,88631,ORANG,2021
KABUPATEN BOGOR,2589167,ORANG,2022
KABUPATEN SUKABUMI,1211763,ORANG,2022
KABUPATEN CIANJUR,1119786,ORANG,2022
KABUPATEN BANDUNG,1682510,ORANG,2022
KABUPATEN GARUT,1229218,ORANG,2022
KABUPATEN TASIKMALAYA,901466,ORANG,2022
KABUPATEN CIAMIS,639600,ORANG,2022
KABUPATEN KUNINGAN,478750,ORANG,2022
KABUPATEN CIREBON,1020411,ORANG,2022
KABUPATEN MAJALENGKA,617320,ORANG,2022
KABUPATEN SUMEDANG,562416,ORANG,2022
KABUPATEN INDRAMAYU,890992,ORANG,2022
KABUPATEN SUBANG,800701,ORANG,2022
KABUPATEN PURWAKARTA,430788,ORANG,2022
KABUPATEN KARAWANG,1077939,ORANG,2022
KABUPATEN BEKASI,1799668,ORANG,2022
KABUPATEN BANDUNG BARAT,740639,ORANG,2022
KABUPATEN PANGANDARAN,256684,ORANG,2022
KOTA BOGOR,496570,ORANG,2022
KOTA SUKABUMI,145522,ORANG,2022
KOTA BANDUNG,1298537,ORANG,2022
KOTA CIREBON,149860,ORANG,2022
KOTA BEKASI,1452223,ORANG,2022
KOTA DEPOK,1160313,ORANG,2022
KOTA CIMAHI,286038,ORANG,2022
KOTA TASIKMALAYA,324099,ORANG,2022
KOTA BANJAR,89588,ORANG,2022
KABUPATEN BOGOR,2505069,ORANG,2023
KABUPATEN SUKABUMI,1344044,ORANG,2023
KABUPATEN CIANJUR,1283307,ORANG,2023
KABUPATEN BANDUNG,1756328,ORANG,2023
KABUPATEN GARUT,1289745,ORANG,2023
KABUPATEN TASIKMALAYA,970598,ORANG,2023
KABUPATEN CIAMIS,634660,ORANG,2023
KABUPATEN KUNINGAN,519658,ORANG,2023
KABUPATEN CIREBON,1101094,ORANG,2023
KABUPATEN MAJALENGKA,689821,ORANG,2023
KABUPATEN SUMEDANG,582674,ORANG,2023
KABUPATEN INDRAMAYU,880854,ORANG,2023
KABUPATEN SUBANG,839759,ORANG,2023
