nama_kabupaten_kota,Pendidikan,2017,2018,2019,2020,2021,2022
KABUPATEN INDRAMAYU,Perguruan Tinggi,"6,92","7,99","8,83",0,"10,22","9,41"
KABUPATEN SUBANG,Perguruan Tinggi,"7,87","5,73","3,69",0,"5,27","9,4"
KABUPATEN PURWAKARTA,Perguruan Tinggi,"12,27","8,4","9,66",0,"7,52","15,91"
KABUPATEN KARAWANG,Perguruan Tinggi,"10,16","10,14","9,4",0,"9,53","16,45"
KABUPATEN BEKASI,Perguruan Tinggi,"17,53","21,4","20,33",0,"19,82","20,51"
KABUPATEN BANDUNG BARAT,Perguruan Tinggi,"9,89","8,88","9,45",0,"9,16","11,49"
KABUPATEN PANGANDARAN,Perguruan Tinggi,"8,3","5,14","4,84",0,"7,93","12,54"
KOTA BOGOR,Perguruan Tinggi,"31,08","27,92","28,67",0,"28,31","31,58"
KOTA SUKABUMI,Perguruan Tinggi,"25,07","24,71","23,88",0,"24,96","21,19"
KOTA BANDUNG,Perguruan Tinggi,"34,07","34,5","33,96",0,"33,78","36,93"
KOTA CIREBON,Perguruan Tinggi,"14,4","13,96","16,54",0,"17,62","15,35"
KOTA BEKASI,Perguruan Tinggi,"25,22","23,78","24,68",0,"24,85","31,59"
KOTA DEPOK,Perguruan Tinggi,"26,58","28,77","29,27",0,"28,17","32,34"
KOTA CIMAHI,Perguruan Tinggi,"23,12","18,61","19,28",0,"23,42","23,6"
KOTA TASIKMALAYA,Perguruan Tinggi,"21,05","17,01","17,94",0,"15,92","19,48"
KOTA BANJAR,Perguruan Tinggi,"15,41","15,68","15,1",0,"14,78","15,59"
